Name,Rating Average,Complexity Average
Legendary: A Marvel Deck Building Game,7.57,2.44
Ra,7.47,2.35
Carcassonne,7.42,1.91
Zombicide: Black Plague,7.68,2.51
Kanban: Driver's Edition,7.84,4.35
Arcadia Quest,7.71,2.53
Goa,7.58,3.38
Horrified,7.84,2.05
The Princes of Florence,7.53,3.25
Cyclades,7.52,2.83
Secret Hitler,7.57,1.69
Cthulhu: Death May Die,8.16,2.42
Sushi Go Party!,7.46,1.32
Steam,7.59,3.46
YINSH,7.69,2.70
Viticulture,7.59,2.93
Galaxy Trucker,7.41,2.33
Deception: Murder in Hong Kong,7.50,1.60
Tyrants of the Underdark,7.89,2.57
Roll Player,7.53,2.38
Shogun,7.54,3.37
Isle of Skye: From Chieftain to King,7.44,2.25
1830: Railways & Robber Barons,7.88,4.16
Flamme Rouge,7.56,1.67
Century: Golem Edition,7.71,1.65
Hero Realms,7.60,1.90
Glory to Rome,7.49,2.93
Lewis & Clark: The Expedition,7.49,3.34
1960: The Making of the President,7.61,3.21
Power Grid Deluxe: Europe/North America,8.01,3.19
Hanamikoji,7.54,1.71
Bora Bora,7.56,3.74
Imperial,7.61,3.57
Dungeon Petz,7.47,3.60
Samurai,7.45,2.49
Space Base,7.59,2.13
Seasons,7.41,2.77
Imperial Settlers,7.41,2.77
Pulsar 2849,7.73,3.34
Dixit: Odyssey,7.45,1.19
Marco Polo II: In the Service of the Khan,8.17,3.38
Age of Empires III: The Age of Discovery,7.54,3.13
Kingdomino,7.35,1.21
Lords of Hellas,7.85,3.32
Space Alert,7.44,2.96
Modern Art,7.40,2.30
Fury of Dracula (Third/Fourth Edition),7.51,3.22
Glen More II: Chronicles,8.02,3.05
Dead of Winter: The Long Night,7.65,3.42
Battle Line,7.42,1.90
Summoner Wars: Master Set,7.52,2.51
Rococo,7.58,3.09
Exit: The Game - The Abandoned Cabin,7.53,2.54
Dominion (Second Edition),7.93,2.18
Navegador,7.55,3.09
Runewars,7.63,3.78
The Manhattan Project: Energy Empire,7.79,3.03
Tapestry,7.49,2.88
Alien Frontiers,7.41,2.57
Indonesia,7.85,3.98
Imperial 2030,7.69,3.50
Undaunted: Normandy,7.90,2.25
Burgle Bros.,7.54,2.31
Hannibal: Rome vs. Carthage,7.80,3.45
Concordia Venus,8.36,3.08
BattleLore (Second Edition),7.74,2.70
Vindication,7.88,3.07
Antiquity,7.88,4.31
Lost Ruins of Arnak,8.25,2.76
Western Legends,7.66,2.78
Cthulhu Wars,7.92,3.14
Hive,7.32,2.33
Onitama,7.40,1.71
Ethnos,7.48,2.03
Mage Wars Arena,7.64,3.67
Century: Spice Road,7.37,1.77
Aeon's End: Legacy,8.22,2.84
Above and Below,7.43,2.53
Nemo's War (Second Edition),7.99,3.15
Small World,7.26,2.36
Arboretum,7.39,2.16
Mysterium,7.30,1.91
Dungeon Lords,7.39,3.56
War Chest,7.95,2.29
The Taverns of Tiefenthal,7.63,2.66
KLASK,7.65,1.05
Telestrations,7.40,1.08
Bruges,7.43,2.75
Sid Meier's Civilization: The Board Game,7.41,3.89
Star Wars: Outer Rim,7.74,2.47
Letters from Whitechapel,7.40,2.66
Tikal,7.34,2.80
Heaven & Ale,7.58,3.24
Tiny Epic Galaxies,7.37,2.16
Merchants & Marauders,7.41,3.24
Cryptid,7.52,2.21
The Resistance,7.28,1.61
Glass Road,7.45,2.97
Mission: Red Planet (Second Edition),7.46,2.20
Ghost Stories,7.32,2.91
Acquire,7.34,2.50
Star Wars: Armada,7.85,3.16
Dixit,7.26,1.22
Viscounts of the West Kingdom,8.16,3.50
Agricola: All Creatures Big and Small,7.38,2.35
Takenoko,7.27,1.98
Here I Stand,7.91,4.17
Neuroshima Hex! 3.0,7.40,2.61
Love Letter,7.23,1.19
Dune,8.16,3.89
Evolution: Climate,7.62,2.78
Survive: Escape from Atlantis!,7.31,1.71
Altiplano,7.54,3.33
Die Macher,7.63,4.32
Harry Potter: Hogwarts Battle,7.46,2.08
Bärenpark,7.36,1.64
Notre Dame,7.34,2.75
San Juan,7.25,2.29
51st State: Master Set,7.66,2.92
At the Gates of Loyang,7.38,3.13
Endeavor,7.40,2.91
In the Year of the Dragon,7.35,3.10
The Pillars of the Earth,7.29,2.82
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.78,2.16
For Sale,7.22,1.26
Bruxelles 1893,7.65,3.59
Saint Petersburg,7.30,2.47
Claustrophobia,7.52,2.48
Blood Bowl: Team Manager - The Card Game,7.38,2.33
Clash of Cultures,7.62,3.59
Azul: Stained Glass of Sintra,7.42,1.98
Bunny Kingdom,7.46,2.27
Charterstone,7.38,2.82
Ticket to Ride: Märklin,7.41,2.24
Dune,7.62,3.44
King of Tokyo,7.18,1.49
Civilization,7.50,3.66
Arkham Horror (Third Edition),7.78,3.27
Space Hulk (Third Edition),7.53,2.78
Gùgōng,7.53,3.06
Mythic Battles: Pantheon,8.46,3.01
Nippon,7.69,3.79
Tiny Towns,7.36,2.08
San Juan (Second Edition),7.52,2.07
Gizmos,7.45,2.02
Codenames: Pictures,7.26,1.27
Advanced Squad Leader,7.99,4.73
Lost Cities,7.18,1.50
Calico,8.00,2.19
Mice and Mystics,7.30,2.71
Sword & Sorcery,8.04,4.03
Too Many Bones: Undertow,8.78,4.05
Pandemic Legacy: Season 0,8.80,3.13
The Manhattan Project,7.36,2.96
Macao,7.42,3.14
Fresco,7.29,2.64
Blood Bowl: Living Rulebook,7.85,3.17
Arkham Horror,7.26,3.58
Innovation,7.25,2.74
The Godfather: Corleone's Empire,7.55,2.60
Dice Forge,7.29,1.97
Maria,7.97,3.51
London (Second Edition),7.61,2.69
Santa Maria,7.55,3.06
A Few Acres of Snow,7.40,3.04
Stockpile,7.52,2.11
Abyss,7.33,2.32
Monikers,7.79,1.06
Firefly: The Game,7.39,2.96
Flash Point: Fire Rescue,7.20,2.21
Thunderstone Quest,7.91,2.80
Lancaster,7.42,2.99
Glen More,7.32,2.67
Newton,7.62,3.40
Quadropolis,7.29,2.21
Risk Legacy,7.42,2.59
Heroscape Master Set: Rise of the Valkyrie,7.44,2.29
Pandemic: Fall of Rome,7.71,2.45
Millennium Blades,7.72,3.68
Kingsburg,7.19,2.43
The Great Zimbabwe,7.79,3.71
Carpe Diem,7.58,2.52
Downforce,7.36,1.74
Star Realms: Frontiers,8.02,1.88
Pandemic: The Cure,7.30,2.06
BattleLore,7.36,2.76
Amerigo,7.47,2.99
Chinatown,7.33,2.28
Nusfjord,7.62,2.86
