Name,Rating Average,Complexity Average
Star Wars Customizable Card Game,6.71,3.16
Guildhall: Job Faire,7.14,2.18
Ancient Terrible Things,6.81,2.05
Pick Picknic,6.58,1.19
Dutch Blitz,6.66,1.28
Hera and Zeus,6.49,2.04
Waggle Dance,7.00,2.32
Bloodborne: The Board Game,8.12,2.82
Hearts,6.44,1.77
PÜNCT,6.80,2.75
Isle of Trains,6.83,2
The Great War,7.80,2.70
Lost Valley,6.73,2.62
Trekking the World,7.21,1.88
Sobek,6.68,1.84
Friday the 13th,6.44,1.20
Revolution: The Dutch Revolt 1568-1648,7.32,4.27
Wiz-War,6.87,1.98
Perry Rhodan: The Cosmic League,6.76,1.96
Bios:Origins (Second Edition),8.03,4.11
Cathedral,6.52,1.80
Piece o' Cake,6.62,1.36
Word on the Street,6.61,1.39
Monster Slaughter,7.40,2.14
Paranormal Detectives,7.20,1.71
Dice Throne: Season Two - Gunslinger v. Samurai,7.70,2.20
Sea of Clouds,6.69,1.76
Nauticus,6.95,2.99
The World of SMOG: Rise of Moloch,7.82,2.96
Time of Soccer,7.67,3.26
"Machi Koro: Bright Lights, Big City",6.68,1.89
River Dragons,6.49,1.72
Red November,6.30,2.07
O Zoo le Mio,6.62,2.01
Ragusa,7.06,2.72
Comanchería: The Rise and Fall of the Comanche Empire,8.05,4.08
Money!,6.53,1.55
Poseidon,7.01,3.53
Timebomb,7.18,1.08
Skat,7.25,3.07
Würfel Bohnanza,6.67,1.32
Similo,6.99,1.08
Relic Runners,6.63,2.11
Mystery Express,6.56,2.67
TurfMaster,7.24,1.96
Caesar & Cleopatra,6.40,1.91
The Thing: Infection at Outpost 31,7.31,2.35
Warmachine,7.29,3.49
R-Eco,6.62,1.48
Basari,6.76,1.86
Fate of the Elder Gods,7.30,2.95
Pantheon,6.75,2.75
Fuji Flush,6.57,1.05
Key to the City: London,7.03,2.72
The U.S. Civil War,8.27,3.83
Cosmic Encounter,7.20,2.63
Quartermaster General: 1914,7.58,2.58
The Chameleon,6.66,1.06
Spicy,7.30,1.63
Unlock!: Secret Adventures - A Noside Story,7.10,2.57
KeyForge: Worlds Collide,7.76,3.07
Warhammer: The Mass Combat Fantasy Roleplaying Game (1st Edition),6.64,3.70
Revolver,6.89,1.95
Unlock!: Escape Adventures - The Island of Doctor Goorse,6.74,2.91
Boomtown,6.53,1.70
Zulus on the Ramparts!: The Battle of Rorke's Drift - Second Edition,7.35,2.12
Power Grid: The Card Game,6.76,2.32
Puzzle Strike Shadows,7.83,2.96
First Train to Nuremberg,7.08,3.18
My First Stone Age,6.67,1.13
Epic Card Game,6.47,2.52
Legends of Andor: The Last Hope,7.95,3.24
Tikal II: The Lost Temple,6.87,2.63
Dungeon Alliance,7.60,3.69
The King's Guild,7.24,2.40
That's Life!,6.51,1.32
Heimlich & Co.,6.44,1.48
Chocolate Factory,7.27,2.87
Kreta,6.89,2.65
Taboo,6.29,1.22
Miyabi,7.55,1.95
Dungeon Mayhem,6.99,1.12
Puzzle Strike,6.66,2.29
Silverton,7.11,3.25
Four Against Darkness,7.56,2.08
Onward to Venus,6.88,2.58
A la carte,6.47,1.30
6 nimmt! 25 Jahre,7.44,1.47
Palazzo,6.55,2.06
Orbis,6.71,2.15
The Great Battles of Alexander: Deluxe Edition,7.70,3.62
Master of Orion: The Board Game,6.97,2.38
Last Train to Wensleydale,7.10,3.26
Strike of the Eagle,7.59,3.07
Unhappy King Charles!,7.64,3.31
Kings of Air and Steam,6.89,2.84
Infinity Gauntlet: A Love Letter Game,7.23,1.18
Court of the Dead: Mourners Call,7.85,2.94
Noctiluca,7.14,1.38
The Edge: Dawnfall,8.37,2.92
P.I.,6.72,2.27
Pandemic: Rapid Response,6.72,2.24
Inhabit the Earth,7.00,3.18
Capitol,6.82,2.64
Dealt!,7.12,1.55
Pixel Tactics 2,7.09,2.60
The Settlers of the Stone Age,6.58,2.51
Warp's Edge,8.08,2.39
Pax Transhumanity,7.64,4.31
The Name of the Rose,6.81,2.38
Muse,6.72,1.12
Daytona 500,7.14,1.77
One Night Ultimate Vampire,6.72,1.60
The Lord of the Rings Trading Card Game,6.91,2.93
Back to the Future: Back in Time,7.42,2.28
Enemy Action: Ardennes,8.66,4.27
Gang of Four,6.61,1.87
Wreck Raiders,7.56,2.55
Olympus,6.83,3.01
Twixt,6.59,2.37
Flick of Faith,7.63,1.18
Codenames: Disney Family Edition,6.70,1.28
Mysterium Park,7.55,1.64
VivaJava: The Coffee Game: The Dice Game,6.64,1.78
Whistle Mountain,7.96,2.88
Exit: The Game - The Haunted Roller Coaster,7.30,2
"Warhammer 40,000: Kill Team",7.88,3.32
The Guns of Gettysburg,7.81,3.76
Tac Tac Jack,6.41,1.04
Prosperity,6.70,2.56
Mundus Novus,6.69,2.19
Pericles: The Peloponnesian Wars,7.92,4.18
Kingdomino Duel,6.95,1.72
EastFront,7.68,3.61
Canal Mania,6.89,2.90
Forbidden Sky,6.58,2.60
18CZ,7.88,4.23
Famiglia,6.45,1.75
Timbuktu,6.67,2.79
Tao Long: The Way of the Dragon,6.95,2.63
Dreamblade,7.18,2.70
Loot,6.30,1.38
Boss Monster: The Dungeon Building Card Game,6.29,1.84
Carcassonne: Wheel of Fortune,7.03,2.05
Evolution: The Beginning,6.69,1.76
Ghost Blitz 2,6.77,1.19
Iron Curtain,7.19,2.11
Dungeon Command: Heart of Cormyr,7.39,2.59
Funny Friends,6.51,2.27
Dragon's Gold,6.44,1.69
Queen's Architect,6.91,2.78
Dokmus,7.08,2.11
"Silent Victory: U.S. Submarines in the Pacific, 1941-45",8.05,2.96
Khet: The Laser Game,6.53,2.53
Neue Heimat,7.30,2.68
Metro X,7.24,1.90
Pandemic: Contagion,6.44,1.89
Dungeon Raiders,6.69,1.41
GOSU,6.54,2.40
The Quest for El Dorado: The Golden Temples,7.84,1.88
Tybor the Builder,7.01,1.96
Ascension: Apprentice Edition,7.11,1.96
Masons,6.51,2.14
Core Space,8.93,3.05
Don't Mess with Cthulhu,6.88,1.13
Tokyo Highway,6.77,1.48
Space Cadets: Away Missions,7.38,2.58
Funemployed,6.77,1.19
Gemblo,6.81,1.89
Key Market,7.41,3.51
Flat Top,7.33,4.24
Star Wars Miniatures,6.88,2.31
Divinare,6.73,1.77
Cave Troll,6.41,1.98
Prophecy,6.66,2.63
Fantastiqa: The Rucksack Edition,6.98,2.39
Pack & Stack,6.45,1.28
Pharaon,7.49,2.67
First Martians: Adventures on the Red Planet,6.54,4.17
Sorry! Sliders,6.37,1.06
Xenon Profiteer,7.24,2.14
Robin Hood and the Merry Men,6.88,3.69
Minecraft: Builders & Biomes,7.10,2
Harvest Dice,6.72,1.24
Tempus,6.49,2.80
Pixie Queen,7.18,3.19
Cargo Noir,6.46,2.09
Warfighter: The WWII Tactical Combat Card Game,7.87,3.09
On the Underground: London/Berlin,7.40,2.42
Greenland,7.01,3.22
Dreamscape,7.61,3.13
Oriflamme,7.30,1.53
Le Fantôme de l'Opéra,7.01,2.19
Modern Art Card Game,6.63,1.64
Darkest Night,7.11,2.79
Splendor: Marvel,7.79,1.75
Gunslinger,7.13,3.29
Ace of Aces: Handy Rotary Series,7.03,1.75
Big Boggle,6.86,1.53
Drakon (Third Edition),6.49,1.82
The City,6.55,1.56
Risk: The Lord of the Rings Trilogy Edition,6.52,2.36
A Game of Thrones: Catan - Brotherhood of the Watch,7.16,2.53
Dungeon Command: Sting of Lolth,7.32,2.63
Bohnanza: The Duel,6.92,2.06
Enchanters,7.13,1.88
Planetarium,7.03,2.07
Band of Brothers: Screaming Eagles,7.78,2.76
Coldwater Crown,7.39,2.24
Factory Funner,7.32,2.17
Now Boarding,7.12,2.20
Ave Roma,7.20,3.76
Big Trouble in Little China: The Game,7.70,2.93
Blitz Bowl,7.97,2.19
Full Metal Planète,7.50,3.16
Lost Legacy: Flying Garden,6.71,1.34
The Awful Green Things From Outer Space,6.52,1.87
Witch of Salem,6.65,2.49
Noblemen,6.93,3.07
God's Playground,7.42,3.64
The Game: Extreme,7.00,1.38
Shear Panic,6.37,2.22
Joking Hazard,6.41,1.04
The Battle for Hill 218,6.62,1.71
HEXplore It: The Valley of the Dead King,7.77,3.17
World of Warcraft Trading Card Game,6.70,2.57
Micropolis,6.85,1.75
Merchants of Amsterdam,6.71,2.63
Grifters,6.80,1.77
Megaland,6.76,1.90
Monsterpocalypse,7.17,3.05
Circus Maximus,6.74,2.65
Mountains of Madness,6.56,2.09
Dice Throne,7.83,2.17
Bosk,7.09,2.08
Catan: Portable Edition,6.76,2.25
Flying Colors,7.50,3.02
Deckscape: Heist in Venice,6.79,1.76
Doppelkopf,7.51,2.92
Vast: The Mysterious Manor,7.65,3.76
Mondo,6.50,1.81
Ohne Furcht und Adel,7.05,2.39
Animals on Board,6.57,1.52
Mississippi Queen,6.34,1.69
Ubongo Extreme,6.80,1.87
Monopoly Deal Card Game,6.29,1.33
Kupferkessel Co.,6.91,1.66
Troyes Dice,7.47,2.26
Telestrations After Dark,7.06,1
10 Days in Europe,6.60,1.34
Keltis: Das Kartenspiel,6.69,1.50
7 Ages,7.07,3.94
Zombie Dice,6.21,1.10
Zug um Zug: Deutschland,7.58,1.88
Machiavelli,7.09,3.22
Clue: The Great Museum Caper,6.76,1.93
Industrial Waste,6.70,2.63
Prehistory,7.34,3.96
Epic Spell Wars of the Battle Wizards: Rumble at Castle Tentakill,6.68,1.58
Era of Tribes,8.08,4.23
Tesla vs. Edison: War of Currents,6.72,3.23
Pavlov's House,8.07,2.58
The Builders: Antiquity,6.75,1.92
Project L,7.65,1.67
Storm over Arnhem,7.20,2.94
Viva Topo!,6.84,1.09
Monza,6.60,1.06
Colony,6.63,2.31
The Lord of the Rings: The Fellowship of the Ring Deck-Building Game,6.80,2.11
Koryŏ,6.66,1.86
One Night Ultimate Alien,7.04,1.87
Cabo,7.07,1.29
Blood Bowl (Second Edition),6.83,2.84
TAMSK,6.77,2.29
Montana,6.76,2.26
Sleeping Queens,6.47,1.06
Dominations: Road to Civilization,7.61,3.61
Commissioned,7.32,2.77
Century: Golem Edition - Eastern Mountains,7.55,2.27
GoodCritters,7.13,1.35
Tannhäuser,6.48,2.73
Phoenicia,6.56,2.93
Tsukuyumi: Full Moon Down,8.17,3.71
Kingmaker,6.50,3.07
Limes,6.87,1.85
Ascension: Dreamscape,7.64,2.31
Talon,7.62,2.54
Dale of Merchants Collection,7.94,2.42
Pictures,7.23,1.04
Skull Tales: Full Sail!,7.95,3.83
VivaJava: The Coffee Game,6.88,2.52
Dual Powers: Revolution 1917,7.62,2.21
The Fury of Dracula,6.92,2.60
The River,6.65,2.02
Liberty Roads,8.10,3.23
Völuspá,6.68,1.91
Priests of Ra,6.82,2.25
Byzantium,6.80,3.47
Oh Hell!,6.85,1.75
Medium,7.09,1.06
Ceylon,7.05,2.50
The Battle at Kemble's Cascade,6.74,2.58
DreadBall: The Futuristic Sports Game,7.33,2.87
Clockwork Wars,7.62,3.12
Aeon's End: Outcasts,8.88,3.09
Giganten,6.71,2.57
Anomia: Party Edition,7.09,1.04
HATE,7.68,2.45
Star Fluxx,6.36,1.44
Space Explorers,7.06,2.30
Merchants of the Middle Ages,6.74,3.01
The Capitals,6.96,3.49
"Red Winter: The Soviet Attack at Tolvajärvi, Finland - 8-12 December 1939",8.01,2.97
The Palace of Mad King Ludwig,6.92,2.77
Alubari: A Nice Cup of Tea,7.35,3.14
Letter Tycoon,6.89,2.05
Cardline: Animals,6.58,1.16
Flip City,6.33,1.74
Heroes Wanted,6.77,2.61
Smash Up: What Were We Thinking?,7.49,2.20
Blood on the Clocktower,7.74,2.96
Outpost,6.81,3.12
Android: Mainframe,6.63,1.87
Wings of War: The Dawn of World War II,6.84,1.96
Empyreal: Spells & Steam,7.74,2.79
Dungeon Saga: Dwarf King's Quest,7.26,2.50
The Walking Dead: All Out War,7.86,2.85
Battlestations,7.12,3.41
Pentago,6.38,1.85
Fast Sloths,7.20,2.09
Best Treehouse Ever,6.59,1.39
"Crusade and Revolution: The Spanish Civil War, 1936-1939",8.61,3.25
Axis & Allies: Pacific,6.67,2.87
Legacy: Gears of Time,7.01,2.84
Cloud 9,6.48,1.15
Volfyirion,7.49,2.30
Cheating Moth,6.43,1.15
Super-Skill Pinball: 4-Cade,7.44,2.08
10 Days in Africa,6.55,1.38
Iwari,7.61,2.35
Sunset Over Water,6.99,1.68
SOS Titanic,6.70,1.64
Top Race,6.76,1.74
Colonial: Europe's Empires Overseas,7.14,3.47
Flick 'em Up!: Dead of Winter,6.75,2.12
Rajas of the Ganges: The Dice Charmers,7.66,2.35
Hoplomachus: The Lost Cities,7.96,2.54
18Lilliput,7.24,3.36
Greed Incorporated,6.98,3.56
FAB: The Bulge,7.42,3.07
Portal of Heroes,6.81,1.81
D-Day Dice (Second Edition),7.73,2.11
Star Fleet Battles,6.88,4.18
Gunkimono,7.08,1.87
Ivanhoe,6.54,1.61
Roll For It! Deluxe Edition,6.62,1.10
Before the Wind,6.66,2.59
Shadows of Brimstone: Forbidden Fortress,8.57,3.53
Angola,8.07,3.17
Pagoda,6.66,1.88
Escape: Zombie City,6.79,1.78
Steam Works,6.96,3.20
Sierra West,6.93,3.08
Super Dungeon Explore: Forgotten King,6.99,3.14
BraveRats,6.46,1.15
Saint Malo,6.45,1.90
Smash Up: Big in Japan,7.52,2.50
Unusual Suspects,6.43,1.13
Sushizock im Gockelwok,6.46,1.24
Dice Throne: Season Two - Tactician v. Huntress,7.95,2.33
Battle Line: Medieval,7.73,1.89
Buffy the Vampire Slayer: The Game,6.63,2.01
City of Remnants,6.82,3.14
Carcassonne: The Discovery,6.49,1.93
Cruel Necessity: The English Civil Wars 1640-1653,7.44,2.81
Pax Romana,7.42,3.68
Quo Vadis?,6.46,2.08
SteamRollers,6.72,2.14
New World: A Carcassonne Game,6.48,2.05
Hoplomachus: Origins,7.81,3.04
Bandido,6.54,1.10
Skyjo,6.87,1.12
10 Days in the USA,6.48,1.40
Speed Circuit,6.90,2.05
Okiya,6.57,1.22
High Frontier 4 All,8.83,4.74
Defenders of the Last Stand,7.50,2.92
Star Wars: Unlock!,7.19,1.89
Ships,6.88,3.52
DropMix,6.87,1.32
Welcome to New Las Vegas,7.08,2.89
Ticket to Ride: First Journey (Europe),7.04,1.63
Dungeon Command: Curse of Undeath,7.47,2.51
Atlantis,6.52,1.84
Airships,6.38,1.86
Valhalla,7.36,2.07
Mistfall,6.68,3.96
Catan: Starfarers,7.73,2.40
Pathfinder Adventure Card Game: Mummy's Mask - Base Set,8.04,2.92
Maori,6.60,1.79
Black Gold,6.85,2.59
Element,7.29,2.33
Pioneers,7.00,2.31
Assault on Doomrock,7.07,3.13
Pursuit of Glory,7.92,3.90
Expedition,6.84,1.98
Nightfall: Martial Law,7.02,2.74
Karmaka,6.64,1.92
Ubongo: Duel,6.85,1.79
CloudAge,7.76,2.84
Kitchen Rush (Revised Edition),7.73,2
Escape the Room: Mystery at the Stargazer's Manor,6.58,1.60
Second Chance,6.71,1.21
Entdecker: Exploring New Horizons,6.51,2.45
Return of the Heroes,6.49,2.36
Word Slam,7.00,1.11
Progress: Evolution of Technology,6.53,2.42
Africana,6.73,2.02
18AL,7.22,3.86
Kero,7.18,1.96
Cavum,6.68,3.59
Axis & Allies: Europe,6.52,2.84
Funkoverse Strategy Game,7.43,2.21
Rheinländer,6.61,2.44
Talisman,6.35,2.19
HeroClix,6.51,2.81
What the Heck?,6.49,1.18
Iliad,6.53,2.09
King & Assassins,6.89,1.81
The Dwarf King,6.55,1.44
GiftTRAP,6.41,1.24
Queen's Necklace,6.42,1.90
Gobblet,6.60,1.85
Cavern Tavern,6.95,2.43
Norenberc,6.80,3
World at War: Eisenbach Gap,7.49,2.59
Let's Make a Bus Route,7.29,1.67
Victorian Masterminds,6.93,2.21
Small City,7.52,4
Field Commander: Rommel,6.97,2.47
Vietnam 1965-1975,7.44,4.29
Patrician,6.62,1.92
Dark Souls: The Board Game,6.57,3.12
Grand Cru,6.80,3.14
Dizzle,6.94,1.31
A Handful of Stars,7.34,3.15
Portobello Market,6.38,2.03
Haven,7.14,2.35
Intrigue,6.37,1.94
Pacific War: The Struggle Against Japan 1941-1945,7.67,4.53
The Red Dragon Inn 5: The Character Trove,7.62,2
Mord im Arosa,6.56,1.44
Who Goes There?,7.33,2.97
Longhorn,6.57,1.73
The Manhattan Project 2: Minutes to Midnight,7.39,3.57
Raid on St. Nazaire,7.21,3
Walk the Plank!,6.58,1.26
1861: The Railways of the Russian Empire,7.55,4.21
Lift Off,7.19,2.78
Mutant Chronicles: Siege of the Citadel,7.02,2.23
WildLife,6.66,3.07
Trias,6.45,2.39
Archer: Once You Go Blackmail...,7.14,1.26
The Red Dragon Inn 4,7.34,1.80
DC Comics Deck-Building Game: Teen Titans,7.22,2.11
Dojo Kun,6.98,2.69
"Warhammer 40,000 (Third Edition)",6.52,3.50
Space Dealer,6.54,2.41
18MEX,7.85,3.87
Dice Throne: Season Two - Cursed Pirate v. Artificer,8.00,2.57
Leader 1,6.99,2.52
Legendary Encounters: The X-Files Deck Building Game,7.76,2.80
Tiki Topple,6.46,1.30
Boggle,6.21,1.49
Take 5!,6.49,1.47
Detroit-Cleveland Grand Prix,6.78,1.70
Galactic Emperor,6.60,2.91
Secrets,6.50,1.40
Strozzi,6.73,2.24
Scattergories,6.20,1.38
Spaceteam,6.67,1.09
Escape from Atlantis,6.58,1.55
Rising 5: Runes of Asteros,6.59,1.88
DC Comics Deck-Building Game: Rivals - Batman vs The Joker,7.04,1.81
Gheos,6.51,2.45
Tulip Bubble,7.16,2.52
1st & Goal,6.56,1.81
The Cave,6.51,2.52
The Grizzled: Armistice Edition,7.86,2.29
Panzergruppe Guderian,7.33,2.84
Invasion from Outer Space: The Martian Game,7.06,2.78
Ride the Rails,7.38,2.29
Carnival Zombie,7.13,3.31
Chakra,6.96,1.73
Pelican Cove,6.74,1.80
Archon: Glory & Machination,6.98,3.10
A Brief History of the World,6.90,2.86
Round House,7.22,3.32
Rook,6.41,1.87
Import / Export,7.33,3.22
Serenissima (Second Edition),6.96,2.93
Blue Max,7.12,2.27
Rivet Wars: Eastern Front,7.02,2.44
Medieval Merchant,6.73,3.10
The Blood of an Englishman,6.68,1.72
Bazaar,6.53,2.03
Linq,6.88,1.42
The Castle of the Devil,6.44,1.97
Dungeon Command: Tyranny of Goblins,7.41,2.71
"Gandhi: The Decolonization of British India, 1917 - 1947",8.22,4.03
Sonar,6.75,1.89
Die Siedler von Nürnberg,6.93,2.79
Saloon Tycoon,7.13,2.26
Quodd Heroes,7.42,3.12
Star Wars: Destiny - Two-Player Game,7.18,2.33
Coyote,6.61,1.21
Set & Match,7.61,1.07
Blood Bound,6.63,1.67
Garden Dice,6.67,2.12
New England,6.48,2.47
Wings of Glory: WW1 Rules and Accessories Pack,7.98,2.04
Kerala: The Way of the Elephant,6.87,1.84
Noria,6.55,3.63
Cóatl,7.52,2
Songbirds,6.88,1.69
Fast Flowing Forest Fellers,6.52,1.53
Lincoln,7.15,2.53
Silver,7.00,1.83
Duel in the Dark,6.62,2.49
Abracada...What?,6.59,1.67
Fuji,6.69,2.20
Turning Point: Stalingrad,7.25,3.32
Tales of the Arabian Nights,7.04,2.43
Field Commander: Alexander,7.08,2.32
Harvest,7.12,2.54
Vault Wars,6.86,2.10
Choose Your Own Adventure: House of Danger,6.44,1.08
Finished!,6.75,2.13
RAF,7.37,3.13
Arkham Noir: Case #1 - The Witch Cult Murders,6.85,2.03
España 1936,7.26,2.81
Carcassonne: Over Hill and Dale,7.34,2.09
Ultimate Warriorz,6.71,1.29
W1815,7.47,1.53
A Fistful of Meeples,7.26,2.10
StreetSoccer,6.53,1.54
Darkest Night (Second Edition),7.62,3.11
The Dwarves,6.93,2.51
Welcome to Dino World,6.95,2.23
After the Flood,6.88,3.71
InBetween,6.77,2.38
Age of Napoleon,6.83,3.17
Asking for Trobils,7.05,2.08
Medici: The Card Game,6.76,1.60
Kohle & Kolonie,7.48,3.84
Dancing Eggs,6.38,1.05
Cataclysm: A Second World War,7.66,3.85
Exit: The Game - The House of Riddles,6.91,1.68
Battlefleet Gothic,7.01,2.91
Bezzerwizzer,6.39,1.58
Freshwater Fly,7.39,2.42
Crystal Clans,7.06,2.65
Terror Below,6.87,1.81
Qwixx Deluxe,7.15,1.21
Cable Car,6.68,1.83
Shadows: Amsterdam,6.67,1.29
Duel of Ages Set 1: Worldspanner,6.55,2.88
The Devil's Cauldron: The Battles for Arnhem and Nijmegen,8.23,3.86
Medici vs Strozzi,6.50,2.45
Ottoman Sunset: The Great War in the Near East,7.34,2
PUSH,6.90,1.05
Red Outpost,7.13,2.38
Conflict of Heroes: Guadalcanal - The Pacific 1942,8.19,3
Multiuniversum,6.64,1.94
Pandemic: Hot Zone - North America,7.24,1.96
Plums,6.59,1.78
De Bellis Antiquitatis: Quick Play Wargame Rules with Army Lists for Ancient and Medieval Battles,7.28,2.83
Lifeboat,6.33,1.74
Panzer Leader: Game of Tactical Warfare on the Western Front,6.64,3.11
Santa Cruz,6.67,2.17
Goldland,6.65,2.39
The Golden City,6.58,2.26
Wizard Kings,6.70,2.65
The Road to Canterbury,6.87,2.25
Joraku,7.01,2.16
Beowulf: The Legend,6.39,2.25
MarraCash,6.81,2.15
Rory's Story Cubes,6.29,1.13
Wok Star,6.69,2.05
Get Bit!,6.15,1.12
Man O' War,7.16,2.66
Claim 2,7.07,1.54
Patchwork Doodle,6.67,1.19
Unlock!: Secret Adventures - Tombstone Express,6.77,2.09
Ninja Camp,6.74,1.57
Malifaux (Second Edition),8.12,3.93
Nine Tiles Panic,7.05,1.18
Mus,7.94,2.25
Mesopotamia,6.52,2.44
Dungeon Command: Blood of Gruumsh,7.54,2.47
Warhammer Age of Sigmar: Warcry Starter Set,8.36,2.36
Go Nuts for Donuts,6.60,1.06
Marvel Dice Masters: The Amazing Spider-Man,7.38,2
Pinochle,6.85,2.30
Marvel Heroes,6.37,3.07
Mégawatts,7.86,3.12
Phantom Leader Deluxe,8.06,2.65
Thunderstone: Starter Set,6.95,2.31
Ortus Regni,7.62,3.23
Guild Ball,7.99,3.62
Tales & Games: The Three Little Pigs,6.47,1.18
Ascension: Dawn of Champions,7.36,2.25
Pathfinder Adventure Card Game: Core Set,7.81,2.92
Crude: The Oil Game,6.72,2.74
Quirky Circuits,7.34,1.55
Space Hulk (Second Edition),7.48,2.64
The Pillars of the Earth: Builders Duel,6.56,2.17
Lost Cities: Rivals,6.78,1.95
Urbion,6.89,1.87
An Infamous Traffic,7.40,3.48
Topoum,7.30,2.43
Shark,6.63,2.22
First Contact,7.11,2.14
Cuzco,7.63,2.39
Dreadfleet,6.95,2.94
Risk: Star Wars Original Trilogy Edition,6.83,2.12
Aliens,7.28,2.24
Faiyum,7.75,3.12
Advanced Heroquest,6.83,2.87
Dice Stars,6.67,1.33
Lock 'n Load: Band of Heroes,7.40,3.06
Formula Motor Racing,6.41,1.18
Kuhhandel Master,6.75,1.83
Dice Throne: Season Two - Seraph v. Vampire Lord,7.97,2.14
Barbarians: The Invasion,7.52,3.26
Sherlock: Last Call,6.83,1.44
King Up!,6.38,1.22
Tank Duel: Enemy in the Crosshairs,7.76,2.73
Dungeons & Dragons: Tomb of Annihilation Board Game,7.73,2.60
Mystery Rummy: Jekyll & Hyde,6.62,1.53
The Great Fire of London 1666,6.52,2.54
Baltimore & Ohio,7.20,3.75
Chrononauts,6.20,1.84
Black Friday,6.58,2.81
The World Cup Game,7.06,1.98
Deep Blue,6.78,1.85
CrossTalk,7.02,1.20
Aventuria: Adventure Card Game,7.52,2.35
10 Days in Asia,6.69,1.43
Battleground,6.96,2.84
Moonrakers,8.09,2.33
Topiary,6.74,1.73
Clever Cubed,7.82,2.47
En Garde,6.49,1.41
The World of Smog: On Her Majesty's Service,6.85,2.47
Industria,6.45,2.67
Fight for Olympus,6.76,2.11
Exit: The Game - Theft on the Mississippi,7.31,2.75
Thief's Market,6.51,1.90
G.E.V.,6.99,2.30
Triassic Terror,6.96,2.87
Caper,7.29,2.11
Attila,6.49,2.55
Sator Arepo Tenet Opera Rotas,6.89,2.42
The Manhattan Project: Chain Reaction,6.47,1.87
Ladies & Gentlemen,6.50,2.06
Catch the Moon,6.75,1
Bolt Action,7.77,2.77
Gambit Royale,6.45,1.88
Unlock!: Escape Adventures - The Elite,6.93,2.15
Nacht der Magier,6.67,1.12
Kings & Things,6.50,2.64
Rail Baron,6.58,2.27
Burano,6.78,3.78
Deadlands: Doomtown,7.25,3.02
Pizarro & Co.,6.53,2.45
Origin,6.69,2.14
Rum & Pirates,6.44,1.95
Overbooked,7.14,1.84
Kneipenquiz: Das Original,7.49,1.27
1880: China,8.20,4.26
Dungeon Drop,7.00,1.42
Senji,6.52,2.96
Roll Through the Ages: The Iron Age,6.64,2.23
Praetor,6.60,3
Hostage Negotiator: Crime Wave,7.52,1.93
Here to Slay,7.27,1.63
A Tale of Pirates,7.15,1.76
Roll to the Top!,6.87,1.06
Adventure Games: Monochrome Inc.,6.83,1.88
Zooloretto: The Dice Game,6.40,1.23
Dark Tower,6.82,1.81
Pocket Mars,6.52,2.36
Wild Space,7.51,2.32
Shifting Sands: The Campaign for North Africa,7.34,3.19
Hellapagos,6.63,1.27
Kill Doctor Lucky,6.15,1.65
Shadowrun Crossfire: Prime Runner Edition,7.81,3
Hail Hydra,6.67,1.86
Martian Dice,6.24,1.07
Axis & Allies: WWI 1914,7.25,2.72
Exceed Fighting System,8.34,2.69
Colors of Paris,7.10,2.32
PanzerBlitz,6.54,3.07
Piñata,6.82,1.48
Die Legenden von Andor: Chada & Thorn,6.73,2.19
Tiny Epic Defenders,6.29,1.81
Throw Throw Burrito Original Edition,6.78,1.09
Parfum,6.51,2.07
Rush & Bash,6.80,1.39
Jet Set,6.74,2.57
SeaFall,6.29,3.76
Smash Up: Munchkin,6.62,2.18
Tales of Glory,7.28,1.73
BATTALIA: The Creation,7.40,3.49
Darjeeling,6.56,2.22
German Railways,6.86,2.93
Trash Pandas,6.68,1.42
David & Goliath,6.45,1.63
Leader 1: Hell of the North,7.71,2.69
Hotshots,7.07,2.13
Infection: Humanity's Last Gasp,7.33,2.11
Ekö,6.91,2.66
Runewars Miniatures Game,7.71,3.06
Ghost Blitz: 5 to 12,6.97,1.35
Pokémon Trading Card Game,6.26,2.01
Planet Apocalypse,8.26,3.08
Ascension X: War of Shadows,7.61,2.17
Camp Grizzly,7.43,2.09
Where There Is Discord: War in the South Atlantic,7.89,3.10
Comuni,6.70,3.31
The Third World War: Battle for Germany,7.80,3.47
Camel Up Cards,6.71,1.74
Car Wars,6.39,3.10
Resident Evil Deck Building Game,6.56,2.28
"UltraQuest: Gold, Ruhm! und Ehre!",8.33,2.75
Ukraine '43,7.85,3.58
Byzanz,6.62,1.61
Dungeon Roll,6.12,1.33
Myth,6.64,3.84
Nobody Is Perfect,6.87,1.60
Dungeons & Dragons: The Fantasy Adventure Board Game,6.56,2.19
7 Ronin,6.98,2.22
Tiny Epic Tactics,6.97,2.40
The Grimm Masquerade,7.03,1.60
BioShock Infinite: The Siege of Columbia,6.74,2.90
Beasts of Balance,6.99,1.09
5-Minute Mystery,7.44,1.13
Pairs,6.36,1.15
Starcadia Quest,7.75,2.88
Stratego,6.09,1.85
Thebes: The Tomb Raiders,6.87,2.04
Village Pillage,7.48,1.42
Escape the Room: Secret of Dr. Gravely's Retreat,6.99,1.77
The Enchanted Tower,6.69,1.14
Timeline,6.45,1.16
Glasgow,7.37,2.20
Bullfrogs,6.79,1.91
Federation Commander: Klingon Border,7.43,3.39
Professor Evil and The Citadel of Time,6.65,1.93
Robin of Locksley,7.18,1.92
Shadows in Kyoto,6.94,2
Dungeons & Dragons: Rock Paper Wizard,6.67,1.38
